Daily
72846
80070
82990
53010
62077
68128
76505
76930
88248
80628
60083
76569
80636
94796
81891
89361
82379
66269
79474
84606
85730
89420
85082
65802
61714
68719
64041
65011
65415
57132
50819
40304
44361
46536
36167
29984
28476
23139
17858
17072
15130
12307
11508
8916
6336
5218
5170
4198
3857
3057
2476
1727
1476
1302
1348
1283
981
927
626
630
574
573
507
531
359
278
275
280
404
235
239
163
96
127
203
103
136
139
97
88
98
121
126
75
91
90
39
75
63
62
82
82
77
53
29
43
80
64
71
49
44
56
60
69
68
80
56
44
49
70
73
67
65
66
45
54
52
60
79
83
54
47
48
43
72
71
55
53
60
55
54
47
68
63
92
35
51
87
129
68
36
54
66
65
51
77
68
65
96
69
32
60
44
60
43
26
34
25
20
21
41
24
14
19
16
24
18
20
13
14
10
11
6
13
15
12
7
10
5
6
10
17
16
5
21
10
4
11
11
17
8
5
8
10
12
12
10
5
7
3
9
4
10
3
5
2
9
8
4
10
9
5
6
3
4
1
7
2
7
4
5
6
7
5
6
8
4
8
4
7
8
2
4
6
0
1
11
4
8
4
4
11
7
4
12
4
5
7
5
6
10
11
7
11
7
9
8
5
8
9
7
5
6
12
6
8
12
5
5
5
14
5
7
6
9
12
16
6
1
6
5
6
4
8
23
6
7
8
1
6
6
10
10
9
6
11
18
10
9
7
16
6
16
8
8
7
10
12
11
21
19
14
14
12
25
18
20
17
11
13
23
24
33
25
24
21
18
12
32
18
26
29
24
31
33
36
21
40
27
31
39
80
58
49
56
54
60
89
80
76
129
103
77
75
109
125
187
175
168
135
185
175
246
278
254
274
203
193
342
510
472
585
547
331
351
354
491
554
670
635
539
595
460
723
314
292
273
243
335
207
185
34
25
21
11
15
1
5
5
13
7
8
8
5
4
7
5
6
6
4
3
7
4
4
4
2
3
1
2
2
1
5
4
1
1
2
4
0
0
2
1
2
6
3
6
6
1
1
2
7
1
3
2
1
0
1
1
6
8
0
0
5
1
0
6
0
1
1
7
2
7
0
2
3
0
0
1
3
0
5
4
0
0
0
1
1
2
1
0
0
0
0
1
1
2
5
1
3
1
4
2
2
3
1
2
10
4
2
3
1
0
5
3
0
11
2
6
7
4
8
1
0
4
4
6
0
3
3
3
2
2
3
4
6
3
2
2
2
8
2
3
4
0
6
4
0
3
4
2
8
7
2
4
3
8
1
4
2
2
0
22
4
4
1
6
4
24
3
9
14
2
5
0
1
6
0
2
2
2
2
1
2
3
8
5
4
2
1
4
0
4
1
1
4
5
3
1
1
3
0
0
0
0
2
0
4
1
3
5
0
0
4
1
0
1
2
0
0
3
1
2
3
1
0
0
2
1
1
0
3
0
0
1
0
0
0
2
1
3
0
3
1
0
1
0
0
2
1
0
1
1
1
2
1
0
1
0
0
0
1
0
0
0
0
0
0
0
1
0
0
1
1
2
1
0
0
1
3
0
0
2
0
1
0
2
0
1
7
0
0
0
5
4
0
0
3
0
4
0
0
0
0
0
0
0
0
0
0
2
0
0
0
0
0
0
0
1
1
0
0
0
0
0
0
1
0
0
0
0
0
0
1
0
0
2
0
0
0
0
0
0
0
0
0
0
0
0
0
1
0
0
1
0
0
0
0
0
0
1
0
0
0
0
0
0
0
0
0
0
0
0
0
0
1
1
0
2
4
3
0
0
0
0
0
0
1
1
1
1
3
2
22
3
0
0
2
0
5
3
3
2
1
3
3
10
8
7
9
10
7
16
8
15
16
15
17
20
20
26
16
18
27
8
23
10
8
6
3
1
1
1
2
0
0
0
1
2
0
1
1
1
5
2
0
1
1
2
2
0
2
1
1
0
2
2
0
0
0
0
0
0
1
1
0
5
0
1
0
0
0
1
1
0
3
1
1
0
2
0
0
0
0
0
0
0
0
